lab_categoria,variable,pregunta,Codigo,sub_cat,Desglose,Porcentaje
Muy satisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",1,Nacional,Nacional,29
Satisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",2,Nacional,Nacional,40
Ni satisfecho(a) ni insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",3,Nacional,Nacional,12
Insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",4,Nacional,Nacional,11
Muy insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",5,Nacional,Nacional,8
No sé/No quiero responder,sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",99,Nacional,Nacional,1
Problemas respiratorios,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,1,Nacional,Nacional,3
Enfermedades crónicas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,2,Nacional,Nacional,40
Embarazo,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,3,Nacional,Nacional,5
Salud mental,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,4,Nacional,Nacional,2
Acciones preventivas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,5,Nacional,Nacional,14
Sospecha COVID o COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,6,Nacional,Nacional,3
Trámite de incapacidad por COVID o sospecha de COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,7,Nacional,Nacional,1
Trámite de incapacidad por otro padecimiento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,8,Nacional,Nacional,3
Diabetes,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,9,Nacional,Nacional,1
Hipertensión/Enfermedades del corazón,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,10,Nacional,Nacional,2
Enfermedades del sistema digestivo/Dolor abdominal,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,11,Nacional,Nacional,1
"Revisión mensual, bimestral o trimestral",probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,12,Nacional,Nacional,8
Medicamento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,13,Nacional,Nacional,6
Lesiones físicas/Lesión física por accidente,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,14,Nacional,Nacional,2
Ginecología,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,15,Nacional,Nacional,1
Otro,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,998,Nacional,Nacional,7
No sé/No quiero responder,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,999,Nacional,Nacional,2
